protein_id	protein_name	count
LGEMPL_17265	PTS fructose-like transporter subunit IIB	1
LGEMPL_17165	hypothetical protein	1
LGEMPL_17260	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family	1
LGEMPL_17255	AraC-type DNA-binding domain and AraC-containing proteins	1
LGEMPL_17225	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	1
LGEMPL_17250	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	1
LGEMPL_17245	hypothetical protein	1
LGEMPL_17240	ABC transporter ATP-binding protein	1
LGEMPL_17235	ABC-type Fe3+ transport system, permease component	1
LGEMPL_17230	ABC-type Fe3+ transport system, periplasmic component	1
LGEMPL_17220	Multifunctional fusion protein	1
LGEMPL_17170	heat shock protein HspQ	1
LGEMPL_17350	Gamma-glutamylputrescine synthetase PuuA	1
LGEMPL_17345	gamma-glutamyl-gamma-aminobutyrate hydrolase	1
LGEMPL_17340	HTH-type transcriptional regulator PuuR	1
LGEMPL_17175	23S rRNA (cytosine(1962)-C(5))-methyltransferase RlmI	1
LGEMPL_17180	Uncharacterized conserved protein, phosphatidylethanolamine-binding protein (PEBP) family	1
LGEMPL_17185	AraC-type DNA-binding domain and AraC-containing proteins	1
LGEMPL_17190	acylphosphatase	1
LGEMPL_17300	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	1
LGEMPL_17330	Glycine/D-amino acid oxidase (deaminating)	1
LGEMPL_17325	DNA-binding transcriptional regulator, LysR family	1
LGEMPL_17195	sulfurtransferase TusE	1
LGEMPL_17200	FtsH protease modulator YccA	1
LGEMPL_17320	tartrate dehydrogenase	1
LGEMPL_17205	ABC-type oligopeptide transport system, periplasmic component	1
LGEMPL_17315	BCCT family transporter	1
LGEMPL_17310	BCCT-family transporter	1
LGEMPL_17305	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit	1
LGEMPL_17335	aldehyde dehydrogenase PuuC	1
LGEMPL_17785	Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain	1
LGEMPL_17780	NADH dehydrogenase, FAD-containing subunit	1
LGEMPL_17775	alpha/beta hydrolase YcfP	1
LGEMPL_17770	beta-N-acetylhexosaminidase	1
LGEMPL_17765	thiamine kinase	1
LGEMPL_17760	penicillin-binding protein activator LpoB	1
LGEMPL_17755	Uncharacterized conserved protein YcfL	1
LGEMPL_17750	purine nucleoside phosphoramidase	1
LGEMPL_17150	ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain	1
LGEMPL_17740	metal-dependent hydrolase	1
LGEMPL_17735	DNA polymerase III subunit delta'	1
LGEMPL_17730	dTMP kinase	1
LGEMPL_17725	cell division protein YceG	1
LGEMPL_17720	aminodeoxychorismate lyase	1
LGEMPL_17715	beta-ketoacyl-ACP synthase II	1
LGEMPL_17710	PTS glucose transporter subunit IIBC	1
LGEMPL_17705	3-oxoacyl-ACP reductase FabG	1
LGEMPL_17700	ACP S-malonyltransferase	1
LGEMPL_17745	PTS glucose transporter subunit IIBC	1
LGEMPL_17890	two-component system sensor histidine kinase PhoQ	1
LGEMPL_17880	REP element-mobilizing transposase RayT	1
LGEMPL_17875	peptidase T	1
LGEMPL_17870	spermidine/putrescine ABC transporter ATP-binding protein PotA	1
LGEMPL_17865	spermidine/putrescine ABC transporter permease PotB	1
LGEMPL_17860	spermidine/putrescine ABC transporter permease PotC	1
LGEMPL_17855	spermidine/putrescine ABC transporter substrate-binding protein PotD	1
LGEMPL_17850	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	1
LGEMPL_17845	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	1
LGEMPL_17790	ferric aerobactin receptor IutA	1
LGEMPL_17835	Sir2 family NAD+-dependent deacetylase	1
LGEMPL_17830	N-acetylglucosamine kinase	1
LGEMPL_17825	lipoprotein-releasing ABC transporter permease subunit LolE	1
LGEMPL_17820	lipoprotein-releasing ABC transporter ATP-binding protein LolD	1
LGEMPL_17815	lipoprotein-releasing ABC transporter permease subunit LolC	1
LGEMPL_17810	transcription-repair coupling factor	1
LGEMPL_17805	Lipoprotein-anchoring transpeptidase ErfK/SrfK	1
LGEMPL_17800	DUF1471 domain-containing protein	1
LGEMPL_17795	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	1
LGEMPL_17840	Inner membrane protein	1
LGEMPL_17590	Palmitoleoyl-ACP: Kdo2-lipid-IV acyltransferase (lipid A biosynthesis)	1
LGEMPL_17585	Multidrug-efflux transporter, major facilitator superfamily (MFS)	1
LGEMPL_17580	multidrug efflux MFS transporter MdtG	1
LGEMPL_17575	MysB family protein	1
LGEMPL_17570	YceK/YidQ family lipoprotein	1
LGEMPL_17565	glucans biosynthesis glucosyltransferase MdoH	1
LGEMPL_17560	glucans biosynthesis protein MdoG	1
LGEMPL_17555	glucans biosynthesis protein MdoC	1
LGEMPL_17695	Beta-ketoacyl-[acyl-carrier-protein] synthase III	1
LGEMPL_17545	O-acetyl-ADP-ribose deacetylase	1
LGEMPL_17540	DUF1097 domain-containing protein	1
LGEMPL_17535	Chaperone protein YcdY	1
LGEMPL_17530	putative phosphatase KPN78578_10290	1
LGEMPL_17525	glyoxylate/hydroxypyruvate reductase GhrA	1
LGEMPL_17515	LysR family transcriptional regulator	1
LGEMPL_17510	hypothetical protein	1
LGEMPL_17505	Nicotinamidase-related amidase	1
LGEMPL_17495	Thiol:disulfide interchange protein	1
LGEMPL_17550	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	1
LGEMPL_17690	phosphate acyltransferase PlsX	1
LGEMPL_17685	50S ribosomal protein L32	1
LGEMPL_17680	23S rRNA accumulation protein YceD	1
LGEMPL_17675	7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases, Maf/HAM1 superfamily	1
LGEMPL_17670	23S rRNA pseudouridine(955/2504/2580) synthase RluC	1
LGEMPL_17665	ribonuclease E	1
LGEMPL_17660	DNA-binding transcriptional regulator, LysR family	1
LGEMPL_17655	putative arabinose efflux permease AraJ, MFS family	1
LGEMPL_17650	murein biosynthesis integral membrane protein MurJ	1
LGEMPL_17595	rhodanese-related sulfurtransferase	1
LGEMPL_17640	UPF0502 protein KPN78578_10500	1
LGEMPL_17635	ribosomal protein S5-alanine N-acetyltransferase	1
LGEMPL_17630	multidrug efflux MFS transporter MdtH	1
LGEMPL_17625	lipoprotein	1
LGEMPL_17620	dihydroorotase	1
LGEMPL_17615	DNA damage-inducible protein I	1
LGEMPL_17610	biofilm formation regulator BssS	1
LGEMPL_17605	N-methyl-L-tryptophan oxidase	1
LGEMPL_17600	Membrane associated protein	1
LGEMPL_17645	putative dehydrogenase	1
LGEMPL_16640	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	1
LGEMPL_16635	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC	1
LGEMPL_16630	DUF2593 domain-containing protein	1
LGEMPL_16625	putrescine ABC transporter permease PotI	1
LGEMPL_16620	putrescine ABC transporter permease PotH	1
LGEMPL_16615	putrescine ABC transporter ATP-binding subunit PotG	1
LGEMPL_16610	spermidine/putrescine ABC transporter substrate-binding protein PotF	1
LGEMPL_16605	Sensory transduction regulator	1
LGEMPL_17885	Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain	1
LGEMPL_16595	nitroreductase NfsA	1
LGEMPL_16590	DUF1418 domain-containing protein	1
LGEMPL_16585	GrxA family glutaredoxin	1
LGEMPL_16580	Inner membrane protein	1
LGEMPL_16575	aspartate:alanine antiporter	1
LGEMPL_16565	DNA-binding transcriptional regulator YbjK	1
LGEMPL_16560	Fucose permease	1
LGEMPL_16555	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases	1
LGEMPL_16550	multidrug efflux MFS transporter KdeA	1
LGEMPL_16600	30S ribosomal protein S6--L-glutamate ligase	1
LGEMPL_16740	macrolide transporter subunit MacA	1
LGEMPL_16735	putative ATP-dependent endonuclease of the OLD family, contains P-loop ATPase and TOPRIM domains	1
LGEMPL_16730	aquaporin Z	1
LGEMPL_16725	DUF340 domain-containing protein	1
LGEMPL_16720	hydroxylamine reductase	1
LGEMPL_16715	NADH oxidoreductase	1
LGEMPL_16710	Uncharacterized membrane protein YphA, DoxX/SURF4 family	1
LGEMPL_16705	ubiquinone-dependent pyruvate dehydrogenase	1
LGEMPL_16700	low-specificity L-threonine aldolase	1
LGEMPL_16645	K+-sensing histidine kinase KdpD	1
LGEMPL_16690	Nucleoside-diphosphate-sugar epimerase	1
LGEMPL_16685	N-acetyl-anhydromuramyl-L-alanine amidase AmpD	1
LGEMPL_16680	Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain	1
LGEMPL_16675	lipoprotein	1
LGEMPL_16670	arginine ABC transporter ATP-binding protein ArtP	1
LGEMPL_16665	arginine ABC transporter substrate-binding protein ArtI	1
LGEMPL_16660	arginine ABC transporter permease ArtQ	1
LGEMPL_16655	arginine ABC transporter permease ArtM	1
LGEMPL_16650	ABC transporter substrate-binding protein ArtJ	1
LGEMPL_16695	DUF2867 domain-containing protein	1
LGEMPL_16440	Alpha-glucosidase/xylosidase, GH31 family	1
LGEMPL_16435	ABC-F family ATPase	1
LGEMPL_16430	Protein tyrosine/serine phosphatase Oca4	1
LGEMPL_16425	L,D-transpeptidase	1
LGEMPL_16420	DNA-binding transcriptional regulator, GntR family	1
LGEMPL_16415	Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase	1
LGEMPL_16410	Na+/H+ antiporter NhaD or related arsenite permease	1
LGEMPL_16405	manganese-binding transcriptional regulator MntR	1
LGEMPL_16545	undecaprenyl-diphosphate phosphatase	1
LGEMPL_16395	Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily	1
LGEMPL_16390	outer membrane protein OmpX	1
LGEMPL_16385	threonine/homoserine exporter RhtA	1
LGEMPL_16380	DNA starvation/stationary phase protection protein Dps	1
LGEMPL_16375	glutamine ABC transporter substrate-binding protein GlnH	1
LGEMPL_16370	glutamine ABC transporter permease GlnP	1
LGEMPL_16365	glutamine ABC transporter ATP-binding protein GlnQ	1
LGEMPL_16360	mechanosensitive channel protein	1
LGEMPL_16350	Flavin reductase like domain-containing protein	1
LGEMPL_16400	manganase accumulation protein MntS	1
LGEMPL_16540	DNA-binding transcriptional repressor DeoR	1
LGEMPL_16535	serine-type D-Ala-D-Ala carboxypeptidase	1
LGEMPL_16530	Glutathione S-transferase	1
LGEMPL_16525	Glucose/arabinose dehydrogenase, beta-propeller fold	1
LGEMPL_16520	biofilm formation regulator BssR	1
LGEMPL_16515	Nitrate/nitrite transporter NarK	1
LGEMPL_16510	30S ribosomal protein S12 methylthiotransferase RimO	1
LGEMPL_16505	glutathione ABC transporter permease GsiD	1
LGEMPL_16500	glutathione ABC transporter permease GsiC	1
LGEMPL_16445	Sugar phosphate permease	1
LGEMPL_16490	glutathione ABC transporter ATP-binding protein GsiA	1
LGEMPL_16485	beta-aspartyl-peptidase	1
LGEMPL_16480	molybdopterin molybdotransferase MoeA	1
LGEMPL_16475	molybdopterin-synthase adenylyltransferase MoeB	1
LGEMPL_16470	Pyruvate-formate lyase-activating enzyme	1
LGEMPL_16465	Pyruvate-formate lyase	1
LGEMPL_16460	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases	1
LGEMPL_16455	hypothetical protein	1
LGEMPL_16450	DNA-binding transcriptional regulator, LacI/PurR family	1
LGEMPL_16495	glutathione ABC transporter substrate-binding protein GsiB	1
LGEMPL_17045	quinone-dependent dihydroorotate dehydrogenase	1
LGEMPL_17040	NADPH-dependent FMN reductase	1
LGEMPL_17035	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component	1
LGEMPL_17030	FMNH2-dependent alkanesulfonate monooxygenase	1
LGEMPL_17025	aliphatic sulfonate ABC transporter permease SsuC	1
LGEMPL_17020	aliphatic sulfonates ABC transporter ATP-binding protein	1
LGEMPL_17015	aminopeptidase N	1
LGEMPL_17010	nicotinate phosphoribosyltransferase	1
LGEMPL_16745	macrolide ABC transporter ATP-binding protein/permease MacB	1
LGEMPL_17000	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase	1
LGEMPL_16995	Amino acid permease	1
LGEMPL_16990	diaminopropionate ammonia-lyase	1
LGEMPL_16985	DNA-binding transcriptional regulator, Lrp family	1
LGEMPL_16980	asparagine--tRNA ligase	1
LGEMPL_16975	porin OmpK35	1
LGEMPL_16970	Aspartate aminotransferase	1
LGEMPL_16965	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	1
LGEMPL_16960	Tat (Twin-arginine translocation) pathway signal sequence domain/peptidase M15 family protein	1
LGEMPL_17005	Metal-dependent amidase/aminoacylase/carboxypeptidase	1
LGEMPL_17145	Outer membrane protein TolC	1
LGEMPL_17140	hypothetical protein	1
LGEMPL_17135	putative CoA-binding protein	1
LGEMPL_17130	methylglyoxal synthase	1
LGEMPL_17125	DNA helicase IV	1
LGEMPL_17120	YccF domain-containing protein	1
LGEMPL_17115	Uncharacterized membrane protein YccC	1
LGEMPL_17110	Transcriptional regulator of competence genes, TfoX/Sxy family	1
LGEMPL_17105	SOS-induced cell division inhibitor SulA	1
LGEMPL_17050	cell division protein ZapC	1
LGEMPL_17095	macrodomain Ter protein MatP	1
LGEMPL_17090	putative ATP-dependent protease	1
LGEMPL_17085	bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase	1
LGEMPL_17080	membrane integrity-associated transporter subunit PqiC	1
LGEMPL_17075	intermembrane transport protein PqiB	1
LGEMPL_17070	membrane integrity-associated transporter subunit PqiA	1
LGEMPL_17065	ABC transporter ATP-binding protein	1
LGEMPL_17060	bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL	1
LGEMPL_17055	N-hydroxylaminopurine reductase subunit YcbX, contains MOSC domain	1
LGEMPL_17100	porin OmpA	1
LGEMPL_16850	formate transporter FocA	1
LGEMPL_16845	formate C-acetyltransferase	1
LGEMPL_16840	pyruvate formate lyase 1-activating protein	1
LGEMPL_16835	MFS transporter	1
LGEMPL_16830	DMSO reductase anchor subunit DmsC	1
LGEMPL_16820	dimethylsulfoxide reductase subunit A	1
LGEMPL_16810	serine--tRNA ligase	1
LGEMPL_16805	replication-associated recombination protein RarA	1
LGEMPL_16800	outer membrane lipoprotein chaperone LolA	1
LGEMPL_16955	hypothetical protein	1
LGEMPL_16790	leucine-responsive transcriptional regulator Lrp	1
LGEMPL_16785	thioredoxin-disulfide reductase	1
LGEMPL_16780	cysteine/glutathione ABC transporter permease/ATP-binding protein CydD	1
LGEMPL_16775	cysteine/glutathione ABC transporter ATP-binding protein/permease CydC	1
LGEMPL_16770	leucyl/phenylalanyl-tRNA--protein transferase	1
LGEMPL_16765	translation initiation factor IF-1	1
LGEMPL_16760	ATP-dependent Clp protease ATP-binding subunit ClpA	1
LGEMPL_16755	ATP-dependent Clp protease adapter ClpS	1
LGEMPL_16750	cold shock-like protein CspD	1
LGEMPL_16795	DNA translocase FtsK	1
LGEMPL_16950	L,D-transpeptidase	1
LGEMPL_16945	chromosome partition protein MukB	1
LGEMPL_16940	chromosome partition protein MukE	1
LGEMPL_16935	chromosome partition protein MukF	1
LGEMPL_16930	tRNA uridine 5-oxyacetic acid(34) methyltransferase CmoM	1
LGEMPL_16925	envelope biogenesis factor ElyC	1
LGEMPL_16920	Aminoglycoside phosphotransferase domain-containing protein	1
LGEMPL_16915	3-deoxy-manno-octulosonate cytidylyltransferase	1
LGEMPL_16910	protein YcaR	1
LGEMPL_16855	30S ribosomal protein S12 methylthiotransferase accessory factor YcaO	1
LGEMPL_16900	tetraacyldisaccharide 4'-kinase	1
LGEMPL_16895	lipid A ABC transporter ATP-binding protein/permease MsbA	1
LGEMPL_16890	ComEC family protein	1
LGEMPL_16885	integration host factor subunit beta	1
LGEMPL_16880	30S ribosomal protein S1	1
LGEMPL_16875	(d)CMP kinase	1
LGEMPL_16870	3-phosphoshikimate 1-carboxyvinyltransferase	1
LGEMPL_16865	3-phosphoserine/phosphohydroxythreonine transaminase	1
LGEMPL_16860	DUF421 domain-containing protein	1
LGEMPL_16905	DNA glycosylase YcaQ, repair of DNA interstrand crosslinks	1
LGEMPL_18945	phage shock protein operon transcriptional activator	1
LGEMPL_18940	Sugar phosphate permease	1
LGEMPL_18935	Metal-dependent amidase/aminoacylase/carboxypeptidase	1
LGEMPL_18930	Beta-xylosidase	1
LGEMPL_18925	Transcriptional regulator, contains XRE-family HTH domain	1
LGEMPL_18920	Nucleoside-diphosphate-sugar epimerase	1
LGEMPL_18915	ABC transporter substrate-binding protein SapA	1
LGEMPL_18910	putrescine export ABC transporter permease SapB	1
LGEMPL_16355	23S rRNA (adenine(1618)-N(6))-methyltransferase RlmF	1
LGEMPL_18900	putrescine export ABC transporter ATP-binding protein SapD	1
LGEMPL_18895	putrescine export ABC transporter ATP-binding protein SapF	1
LGEMPL_18890	Purine-cytosine permease or related protein	1
LGEMPL_18885	Various environmental stresses-induced protein Ves (function unknown)	1
LGEMPL_18880	enoyl-ACP reductase FabI	1
LGEMPL_18875	N-terminal domain of uncharacterized protein YciW (function unknown)	1
LGEMPL_18870	exoribonuclease II	1
LGEMPL_18865	UPF0509 protein KPN78578_12530	1
LGEMPL_18860	DNA-binding transcriptional regulator YciT	1
LGEMPL_18905	putrescine export ABC transporter permease SapC	1
LGEMPL_19040	Putative MFS-family transport protein	1
LGEMPL_19035	DUF1100 domain-containing protein	1
LGEMPL_19030	DNA-binding transcriptional regulator, LysR family	1
LGEMPL_19025	Conjugal transfer protein	1
LGEMPL_19020	Glyoxalase	1
LGEMPL_19015	ABC-type oligopeptide transport system, periplasmic component	1
LGEMPL_19010	murein tripeptide amidase MpaA	1
LGEMPL_19005	L-Ala-D/L-Glu epimerase	1
LGEMPL_18950	phage shock protein PspA	1
LGEMPL_18995	Uncharacterized membrane protein AbrB, regulator of aidB expression	1
LGEMPL_18990	transcriptional regulator TyrR	1
LGEMPL_18985	Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase	1
LGEMPL_18980	DNA-binding transcriptional regulator, LysR family	1
LGEMPL_18975	UPF0283 membrane protein KPN78578_12740	1
LGEMPL_18970	Uncharacterized protein YcjX	1
LGEMPL_18965	phage shock protein PspD	1
LGEMPL_18960	envelope stress response membrane protein PspC	1
LGEMPL_18955	envelope stress response membrane protein PspB	1
LGEMPL_19000	thiol peroxidase	1
LGEMPL_18755	anthranilate synthase component 1	1
LGEMPL_18750	bifunctional anthranilate synthase glutamate amidotransferase component TrpG/anthranilate phosphoribosyltransferase TrpD	1
LGEMPL_18745	bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF	1
LGEMPL_18740	tryptophan synthase subunit beta	1
LGEMPL_18735	tryptophan synthase subunit alpha	1
LGEMPL_18730	Glycerate-2-kinase	1
LGEMPL_18725	tartrate dehydrogenase	1
LGEMPL_18720	Sugar phosphate permease	1
LGEMPL_18855	osmotically-inducible lipoprotein OsmB	1
LGEMPL_18710	LysR family substrate-binding domain-containing protein	1
LGEMPL_18705	DNA-binding transcriptional regulator, MarR family	1
LGEMPL_18700	NADPH:quinone reductase or related Zn-dependent oxidoreductase	1
LGEMPL_18690	Transposase	1
LGEMPL_18685	Short chain dehydrogenase	1
LGEMPL_18680	catecholate siderophore receptor Fiu	1
LGEMPL_18675	PKHD-type hydroxylase YbiX	1
LGEMPL_18670	outer membrane protein OmpW	1
LGEMPL_18665	Uncharacterized protein YkgJ, contains CxxCxxCC motif	1
LGEMPL_18715	LysR family transcriptional regulator	1
LGEMPL_18850	stress response translation initiation inhibitor YciH	1
LGEMPL_18845	orotidine-5'-phosphate decarboxylase	1
LGEMPL_18840	lipopolysaccharide assembly protein LapB	1
LGEMPL_18835	DUF1049 domain-containing protein	1
LGEMPL_18830	phosphatidylglycerophosphatase B	1
LGEMPL_18825	GTP cyclohydrolase-2	1
LGEMPL_18820	aconitate hydratase AcnA	1
LGEMPL_18815	YmiA family membrane protein	1
LGEMPL_18760	5'-3' exoribonuclease	1
LGEMPL_18805	type I DNA topoisomerase	1
LGEMPL_18800	Protein YciN	1
LGEMPL_18795	protease SohB	1
LGEMPL_18790	YciK family oxidoreductase	1
LGEMPL_18785	cob(I)yrinic acid a,c-diamide adenosyltransferase	1
LGEMPL_18780	23S rRNA pseudouridine(2605) synthase RluB	1
LGEMPL_18775	Glycine cleavage system transcriptional activator	1
LGEMPL_18770	Permease of the drug/metabolite transporter (DMT) superfamily	1
LGEMPL_18765	L-threonylcarbamoyladenylate synthase	1
LGEMPL_18810	HTH-type transcriptional regulator CysB	1
LGEMPL_19340	Inner membrane protein	1
LGEMPL_19335	L-asparagine transporter or related permease	1
LGEMPL_19330	DNA-binding transcriptional regulator, Lrp family	1
LGEMPL_19325	DUF161 DUF2179 domains-containing protein	1
LGEMPL_19320	Aspartate/aromatic aminotransferase	1
LGEMPL_19315	ABC-type methionine transport system, permease component	1
LGEMPL_19310	ABC-type methionine transport system, ATPase component	1
LGEMPL_19305	ABC-type metal ion transport system, periplasmic component/surface antigen	1
LGEMPL_19045	Aldo/keto reductase, related to diketogulonate reductase	1
LGEMPL_19295	NADPH:quinone reductase or related Zn-dependent oxidoreductase	1
LGEMPL_19290	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	1
LGEMPL_19285	DUF2867 domain-containing protein	1
LGEMPL_19280	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	1
LGEMPL_19275	DNA-binding transcriptional regulator, LysR family	1
LGEMPL_19270	DNA-binding transcriptional regulator, LysR family	1
LGEMPL_19265	NmrA-like domain-containing protein	1
LGEMPL_19260	YdgH/BhsA/McbA-like domain-containing protein	1
LGEMPL_19255	HTH araC/xylS-type domain-containing protein	1
LGEMPL_19300	Aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	1
LGEMPL_19450	oxidoreductase	1
LGEMPL_19440	transcriptional regulator FeaR	1
LGEMPL_19435	Lipoprotein	1
LGEMPL_19430	Lipoprotein	1
LGEMPL_19425	YdbH family protein	1
LGEMPL_19420	Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family	1
LGEMPL_19415	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase	1
LGEMPL_19410	heat shock protein HslJ	1
LGEMPL_19345	hypothetical protein	1
LGEMPL_19400	pyruvate:ferredoxin (flavodoxin) oxidoreductase	1
LGEMPL_19390	porin OmpK37	1
LGEMPL_19385	KTSC domain protein	1
LGEMPL_19380	universal stress protein UspF	1
LGEMPL_19375	tRNA 2-thiocytidine(32) synthetase TtcA	1
LGEMPL_19370	ATP-dependent RNA helicase DbpA	1
LGEMPL_19360	zinc transporter ZntB	1
LGEMPL_19355	hypothetical protein	1
LGEMPL_19350	Oxidoreductase	1
LGEMPL_19405	DUF333 domain-containing protein	1
LGEMPL_19135	type VI secretion system contractile sheath small subunit VipA	1
LGEMPL_19130	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)	1
LGEMPL_19125	HD superfamily phosphohydrolase	1
LGEMPL_19120	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	1
LGEMPL_19115	DNA-binding transcriptional regulator, LysR family	1
LGEMPL_19110	cold-shock protein	1
LGEMPL_19105	Anti-sigma regulatory factor (Ser/Thr protein kinase)	1
LGEMPL_19100	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)	1
LGEMPL_19250	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	1
LGEMPL_19090	Outer membrane protein	1
LGEMPL_19085	putative acyltransferase	1
