# Annotated with Bakta
# Software: v1.8.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	18941	19561	+	LNNEOK_00090	yciO	L-threonylcarbamoyladenylate synthase	COG:COG0009, COG:J, EC:2.7.7.87, GO:0003725, GO:0006400, GO:0061710, RefSeq:WP_001295575.1, SO:0001217, UniParc:UPI000013A6C7, UniRef:UniRef100_P0AFR5, UniRef:UniRef50_P0AFR5, UniRef:UniRef90_P0AFR5
contig_1	cds	19586	21478	+	LNNEOK_00095	yciQ	Uncharacterized protein YciQ	GO:0005886, SO:0001217, UniParc:UPI0002A3E1E6, UniRef:UniRef100_A0A6M5E941, UniRef:UniRef50_P45848, UniRef:UniRef90_P45848
contig_1	cds	21691	22566	+	LNNEOK_00100	rluB	23S rRNA pseudouridine(2605) synthase RluB	COG:COG1187, COG:J, EC:5.4.99.22, GO:0000455, GO:0001522, GO:0003723, GO:0009982, GO:0120159, RefSeq:WP_001291206.1, SO:0001217, UniParc:UPI00000DEB1C, UniRef:UniRef100_Q8FHV4, UniRef:UniRef50_P37765, UniRef:UniRef90_P37765
contig_1	cds	22606	23196	-	LNNEOK_00105	cobO	cob(I)yrinic acid a,c-diamide adenosyltransferase	COG:COG2109, COG:H, EC:2.5.1.17, GO:0005524, GO:0005737, GO:0006779, GO:0008817, GO:0009236, GO:0019250, KEGG:K19221, RefSeq:WP_001278898.1, SO:0001217, UniParc:UPI00005EF5C3, UniRef:UniRef100_A0A066SRS1, UniRef:UniRef50_P31570, UniRef:UniRef90_P0A9H6
contig_1	cds	23193	23951	-	LNNEOK_00110	yciK	YciK family oxidoreductase	COG:COG1028, COG:I, EC:1.-.-.-, GO:0016491, RefSeq:WP_000559258.1, SO:0001217, UniParc:UPI00005EF5C4, UniRef:UniRef100_A0A0H3EIA6, UniRef:UniRef50_P31808, UniRef:UniRef90_P31808
contig_1	cds	24171	25220	+	LNNEOK_00115	sohB	protease SohB	COG:COG0616, COG:O, EC:3.4.21.-, GO:0004252, GO:0005886, GO:0006508, GO:0008233, RefSeq:WP_000422063.1, SO:0001217, UniParc:UPI00018874B8, UniRef:UniRef100_A0A376W3L4, UniRef:UniRef50_P0AG14, UniRef:UniRef90_P0AG14
contig_1	cds	25256	25507	-	LNNEOK_00120	yciN	Protein YciN	GO:0005829, RefSeq:WP_001031530.1, SO:0001217, UniParc:UPI000013A6C6, UniRef:UniRef100_P0AB63, UniRef:UniRef50_P0AB63, UniRef:UniRef90_P0AB63
contig_1	cds	25887	28484	+	LNNEOK_00125	topA	type I DNA topoisomerase	BlastRules:WP_000513593, COG:COG0551, COG:L, EC:5.6.2.1, GO:0003677, GO:0003916, GO:0003917, GO:0005694, GO:0005737, GO:0005829, GO:0006260, GO:0006265, GO:0046872, RefSeq:WP_001304419.1, SO:0001217, UniParc:UPI0001886466, UniRef:UniRef100_E2QLN3, UniRef:UniRef50_P06612, UniRef:UniRef90_P06612
contig_1	cds	28694	29668	+	LNNEOK_00130	cysB	HTH-type transcriptional regulator CysB	COG:COG0583, COG:K, GO:0000976, GO:0003700, GO:0005737, GO:0006355, GO:0019344, RefSeq:WP_000776253.1, SO:0001217, UniParc:UPI0000128CC1, UniRef:UniRef100_P0A9F5, UniRef:UniRef50_P06614, UniRef:UniRef90_P06614
contig_1	cds	29999	30127	+	LNNEOK_00135	ymiA	YmiA family putative membrane protein	GO:0005886, RefSeq:WP_001296034.1, SO:0001217, UniParc:UPI00019AF857, UniRef:UniRef100_A0A066T045, UniRef:UniRef50_P0CB62, UniRef:UniRef90_P0CB62
contig_1	cds	30130	30297	+	LNNEOK_00140		Protein, C-ter, truncated protein	RefSeq:WP_001296035.1, SO:0001217, UniParc:UPI00005EF5C7, UniRef:UniRef100_E2QLN6, UniRef:UniRef50_A0A1J8PHX1, UniRef:UniRef90_A0A1J8PHX1
contig_1	ncRNA	30338	30550	+	LNNEOK_00145	STnc180	Enterobacterial sRNA STnc180	RFAM:RF02079, SO:0000655
contig_1	cds	30656	33331	+	LNNEOK_00150	acnA	aconitate hydratase AcnA	COG:C, COG:COG1048, EC:4.2.1.3, GO:0003729, GO:0003730, GO:0003994, GO:0005506, GO:0005737, GO:0005829, GO:0006097, GO:0006099, GO:0006101, GO:0006979, GO:0009061, GO:0030350, GO:0046872, GO:0047780, GO:0051539, RefSeq:WP_001538696.1, SO:0001217, UniParc:UPI0002A4599D, UniRef:UniRef100_A0A7B5G176, UniRef:UniRef50_P25516, UniRef:UniRef90_P25516
contig_1	cds	33395	33985	-	LNNEOK_00155	ribA	GTP cyclohydrolase-2	COG:COG0807, COG:H, EC:3.5.4.25, GO:0000287, GO:0003935, GO:0005525, GO:0005829, GO:0008270, GO:0009231, GO:0042803, RefSeq:WP_001176294.1, SO:0001217, UniParc:UPI00001A9605, UniRef:UniRef100_B7MLV3, UniRef:UniRef50_Q8ZEF0, UniRef:UniRef90_A8AG83
contig_1	cds	34155	34919	+	LNNEOK_00160	pgpB	phosphatidylglycerophosphatase B	COG:COG0671, COG:I, EC:3.1.3.27, GO:0004609, GO:0008654, RefSeq:WP_001538697.1, SO:0001217, UniParc:UPI0002A27774, UniRef:UniRef100_A0A7B5G1E1, UniRef:UniRef50_P0A925, UniRef:UniRef90_A0A234EWL2
contig_1	cds	35068	35376	+	LNNEOK_00165	lapA	lipopolysaccharide assembly protein LapA	BlastRules:WP_000876286, COG:COG3771, COG:S, GO:0005886, GO:0008653, RefSeq:WP_000876285.1, SO:0001217, UniParc:UPI00000DEB27, UniRef:UniRef100_A0A061LPD2, UniRef:UniRef50_P0ACV4, UniRef:UniRef90_P0ACV4
contig_1	cds	35383	36552	+	LNNEOK_00170	lapB	lipopolysaccharide assembly protein LapB	COG:COG2956, COG:M, GO:0005506, GO:0005515, GO:0005829, GO:0005886, GO:0008653, GO:0009898, GO:0046872, GO:0046890, RefSeq:WP_000891353.1, SO:0001217, UniParc:UPI000013A6C4, UniRef:UniRef100_P0AB60, UniRef:UniRef50_P0AB60, UniRef:UniRef90_P0AB60
contig_1	cds	36684	37481	+	LNNEOK_00175	pyrF	orotidine-5'-phosphate decarboxylase	COG:COG0284, COG:F, EC:4.1.1.23, GO:0004590, GO:0006207, GO:0044205, SO:0001217, UniParc:UPI0001DBCBCD, UniRef:UniRef100_Q0TI84, UniRef:UniRef50_Q884R0, UniRef:UniRef90_P58640
contig_1	cds	37481	37807	+	LNNEOK_00180	yciH	stress response translation initiation inhibitor YciH	COG:COG0023, COG:J, RefSeq:WP_001346953.1, SO:0001217, UniParc:UPI0000D508D4, UniRef:UniRef100_A0A0D8VQJ8, UniRef:UniRef50_P08245, UniRef:UniRef90_Q32GQ1
contig_1	cds	37933	38151	-	LNNEOK_00185	osmB	osmotically-inducible lipoprotein OsmB	GO:0005886, GO:0006970, GO:0019867, RefSeq:WP_000498253.1, SO:0001217, UniParc:UPI0000130EBC, UniRef:UniRef100_P0ADA9, UniRef:UniRef50_P0ADA9, UniRef:UniRef90_P0ADA9
contig_1	cds	38420	39169	-	LNNEOK_00190	yciT	DNA-binding transcriptional regulator YciT	COG:COG1349, COG:KG, GO:0003677, GO:0003700, GO:0005829, GO:0006355, GO:0006974, RefSeq:WP_001088623.1, SO:0001217, UniParc:UPI0000DACE25, UniRef:UniRef100_E2QLP5, UniRef:UniRef50_P76034, UniRef:UniRef90_P76034
contig_1	cds	39259	39432	-	LNNEOK_00195	yciZ	UPF0509 protein YciZ	RefSeq:WP_001288368.1, SO:0001217, UniParc:UPI00000DEB2C, UniRef:UniRef100_B7UR93, UniRef:UniRef50_Q8X3T5, UniRef:UniRef90_Q8X3T5
contig_1	cds	39580	41565	-	LNNEOK_00200	pdeR	cyclic di-GMP phosphodiesterase	COG:COG5001, COG:T, EC:3.1.4.52, GO:0005525, GO:0010608, GO:0071111, RefSeq:WP_000859934.1, SO:0001217, UniParc:UPI0000D508D6, UniRef:UniRef100_A0A0D6IKD7, UniRef:UniRef50_P77334, UniRef:UniRef90_P77334
contig_1	cds	41799	43733	-	LNNEOK_00205	rnb	exoribonuclease II	COG:COG4776, COG:K, EC:3.1.13.1, GO:0003723, GO:0005829, GO:0006401, GO:0006402, GO:0008859, RefSeq:WP_000485012.1, SO:0001217, UniParc:UPI00000DEB2E, UniRef:UniRef100_Q0TI78, UniRef:UniRef50_A0KFR1, UniRef:UniRef90_Q8X7D6
contig_1	cds	43801	44928	-	LNNEOK_00210	yciW	Uncharacterized protein YciW	COG:COG4950, COG:S, RefSeq:WP_001538699.1, SO:0001217, UniParc:UPI0002A27BFA, UniRef:UniRef100_A0A330BQG9, UniRef:UniRef50_P76035, UniRef:UniRef90_P76035
contig_1	cds	45073	45861	-	LNNEOK_00215	fabI	enoyl-ACP reductase FabI	COG:COG0623, COG:I, EC:1.3.1.9, GO:0004318, GO:0005829, GO:0008610, GO:0009102, GO:0016020, GO:0016631, GO:0030497, GO:0032991, GO:0042802, GO:0046677, GO:0051289, GO:0070404, GO:1902494, RefSeq:WP_000506492.1, SO:0001217, UniParc:UPI00000DEB30, UniRef:UniRef100_E2QLQ0, UniRef:UniRef50_P16657, UniRef:UniRef90_P16657
contig_1	cds	46339	46905	+	LNNEOK_00220	acrR	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	COG:COG1309, COG:K, RefSeq:WP_000202113.1, SO:0001217, UniParc:UPI00016A228E, UniRef:UniRef100_A0A023KMF6, UniRef:UniRef50_A0A023KMF6, UniRef:UniRef90_A0A023KMF6
contig_1	cds	47054	48181	+	LNNEOK_00225	acrA	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	COG:COG0845, COG:MV, RefSeq:WP_001538700.1, SO:0001217, UniParc:UPI0002A3950E, UniRef:UniRef100_A0A377K7F7, UniRef:UniRef50_A0A6S5XJ08, UniRef:UniRef90_A0A370V7U5
contig_1	cds	48181	51288	+	LNNEOK_00230	acrB	Multidrug efflux pump subunit AcrB	COG:COG0841, COG:V, RefSeq:WP_001538701.1, SO:0001217, UniParc:UPI0002A1FB45, UniRef:UniRef100_S1PCQ9, UniRef:UniRef50_A0A4S7VZ10, UniRef:UniRef90_A0A0J2BUR4
contig_1	cds	51292	52665	+	LNNEOK_00235	tolC	Outer membrane protein TolC	COG:COG1538, COG:M, RefSeq:WP_001538702.1, SO:0001217, UniParc:UPI0002A1EC18, UniRef:UniRef100_A0A6C7H9Q7, UniRef:UniRef50_A0A2V3K377, UniRef:UniRef90_A0A0J2BHD4
contig_1	cds	52674	53837	+	LNNEOK_00240	araJ	putative arabinose efflux permease AraJ, MFS family	COG:COG2814, COG:G, KEGG:K07552, RefSeq:WP_000135019.1, SO:0001217, UniParc:UPI00016A205E, UniRef:UniRef100_A0A1M0D2L4, UniRef:UniRef50_A0A2V3KIB7, UniRef:UniRef90_A0A1M0D2L4
contig_1	cds	53885	54691	-	LNNEOK_00245	sapF	peptide ABC transporter ATP-binding protein SapF	BlastRules:WP_000230462, COG:COG4167, COG:V, EC:7.6.2.-, GO:0005524, GO:0005886, GO:0015031, GO:0015833, GO:0016887, RefSeq:WP_000573407.1, SO:0001217, UniParc:UPI0000135555, UniRef:UniRef100_P0AAH9, UniRef:UniRef50_P36638, UniRef:UniRef90_P36638
contig_1	cds	54693	55685	-	LNNEOK_00250	sapD	peptide ABC transporter ATP-binding protein SapD	BlastRules:WP_001128868, COG:COG4170, COG:V, EC:7.6.2.-, GO:0005524, GO:0005886, GO:0015031, GO:0015833, GO:0016887, RefSeq:WP_001128858.1, SO:0001217, UniParc:UPI0000135551, UniRef:UniRef100_P0AAH6, UniRef:UniRef50_P0AAH6, UniRef:UniRef90_P0AAH6
contig_1	cds	55685	56575	-	LNNEOK_00255	sapC	putrescine export ABC transporter permease SapC	COG:COG4171, COG:V, GO:0005886, GO:0015031, GO:0015833, GO:0016020, GO:0055085, RefSeq:WP_001146163.1, SO:0001217, UniParc:UPI000013554E, UniRef:UniRef100_P0AGH6, UniRef:UniRef50_P0AGH6, UniRef:UniRef90_P0AGH6
contig_1	cds	56562	57527	-	LNNEOK_00260	sapB	putrescine export ABC transporter permease SapB	COG:COG4168, COG:V, EC:7.6.2.-, GO:0005886, GO:0015489, GO:0015833, GO:0015847, GO:0016020, GO:0055052, GO:0055085, GO:0071916, RefSeq:WP_000583271.1, SO:0001217, UniParc:UPI0001C22ABA, UniRef:UniRef100_A0A066SRP7, UniRef:UniRef50_P0AGH4, UniRef:UniRef90_P0AGH4
contig_1	cds	57524	59167	-	LNNEOK_00265	sapA	ABC transporter substrate-binding protein SapA	COG:COG0747, COG:E, GO:0043190, GO:0055085, RefSeq:WP_001250202.1, SO:0001217, UniParc:UPI00000E49EA, UniRef:UniRef100_E2QLR0, UniRef:UniRef50_P36634, UniRef:UniRef90_Q32FZ3
contig_1	cds	59480	59725	-	LNNEOK_00270	ymjA	Uncharacterized protein YmjA	GO:0005829, RefSeq:WP_001015099.1, SO:0001217, UniParc:UPI00000D0A6D, UniRef:UniRef100_C3TBW2, UniRef:UniRef50_P0ACV8, UniRef:UniRef90_P0ACV8
contig_1	cds	60152	61129	-	LNNEOK_00275	pspF	phage shock protein operon transcriptional activator	COG:COG1221, COG:KT, GO:0000160, GO:0003677, GO:0005524, GO:0005667, GO:0005737, GO:0006355, GO:0016887, GO:0042802, GO:0043565, GO:0045892, GO:0045893, GO:0080135, RefSeq:WP_001538703.1, SO:0001217, UniParc:UPI0002A3F9A0, UniRef:UniRef100_A0A6C7H8Z2, UniRef:UniRef50_P37344, UniRef:UniRef90_P37344
contig_1	cds	61296	61964	+	LNNEOK_00280	pspA	phage shock protein PspA	COG:COG1842, COG:KT, GO:0005737, GO:0005886, KEGG:K03969, RefSeq:WP_000511015.1, SO:0001217, UniParc:UPI00000DEB38, UniRef:UniRef100_A0A0D6IKJ0, UniRef:UniRef50_P0AFM7, UniRef:UniRef90_P0AFM7
contig_1	cds	62018	62242	+	LNNEOK_00285	pspB	envelope stress response membrane protein PspB	GO:0005886, GO:0006355, GO:0009271, GO:0080135, RefSeq:WP_001274960.1, SO:0001217, UniParc:UPI0001E1820A, UniRef:UniRef100_A0A366YQF2, UniRef:UniRef50_P0AFN1, UniRef:UniRef90_P0AFN1
contig_1	cds	62242	62601	+	LNNEOK_00290	pspC	envelope stress response membrane protein PspC	COG:COG1983, COG:KT, GO:0005886, RefSeq:WP_000907391.1, SO:0001217, UniParc:UPI0000D508DD, UniRef:UniRef100_A0A2J7N5J4, UniRef:UniRef50_P0AFN4, UniRef:UniRef90_P0AFN4
contig_1	cds	62610	62831	+	LNNEOK_00295	pspD	phage shock protein PspD	GO:0005737, GO:0005886, GO:0009271, RefSeq:WP_001295585.1, SO:0001217, UniParc:UPI0000132802, UniRef:UniRef100_P0AFV9, UniRef:UniRef50_P0AFV9, UniRef:UniRef90_P0AFV9
contig_1	cds	62906	63220	+	LNNEOK_00300	pspE	thiosulfate sulfurtransferase PspE	COG:COG0607, COG:P, EC:2.8.1.1, GO:0004792, GO:0030288, GO:0042597, RefSeq:WP_000473128.1, SO:0001217, UniParc:UPI00005EF5D7, UniRef:UniRef100_E2QLR7, UniRef:UniRef50_P23857, UniRef:UniRef90_P23857
contig_1	cds	63430	65109	+	LNNEOK_00305	ycjM	glucosylglycerate phosphorylase	BlastRules:WP_000810499, COG:COG0366, COG:G, EC:2.4.1.352, GO:0005975, GO:0110068, RefSeq:WP_001538704.1, SO:0001217, UniParc:UPI0002A203E3, UniRef:UniRef100_A0A7B5G0F2, UniRef:UniRef50_P76041, UniRef:UniRef90_P76041
contig_1	cds	65123	66415	+	LNNEOK_00310	ugpB	ABC-type glycerol-3-phosphate transport system, periplasmic component	COG:COG1653, COG:G, RefSeq:WP_001538705.1, SO:0001217, UniParc:UPI0002A210CB, UniRef:UniRef100_A0A377K764, UniRef:UniRef50_P76042, UniRef:UniRef90_A0A0H3EJA8
contig_1	cds	66436	67317	+	LNNEOK_00315	ugpA	ABC-type sugar transport system, permease component	COG:COG1175, COG:G, RefSeq:WP_001773899.1, SO:0001217, UniParc:UPI0002A42072, UniRef:UniRef100_UPI0002A42072, UniRef:UniRef50_C0CRK2, UniRef:UniRef90_A0A155RUB0
contig_1	cds	67304	68146	+	LNNEOK_00320	ycjP	Inner membrane ABC transporter permease protein YcjP	COG:COG0395, COG:G, GO:0005886, GO:0016020, GO:0055052, GO:0055085, RefSeq:WP_001538707.1, SO:0001217, UniParc:UPI0002A401B2, UniRef:UniRef100_A0A377K7C5, UniRef:UniRef50_P77716, UniRef:UniRef90_P77716
contig_1	cds	68177	69229	+	LNNEOK_00325	ycjQ	D-guloside 3-dehydrogenase	COG:COG1063, COG:ER, EC:1.1.1.-, GO:0005975, GO:0016491, GO:0046872, RefSeq:WP_001538708.1, SO:0001217, UniParc:UPI0002A371A6, UniRef:UniRef100_A0A6M9R7Q0, UniRef:UniRef50_P76043, UniRef:UniRef90_P76043
contig_1	cds	69248	70036	+	LNNEOK_00330	ycjR	3-dehydro-D-guloside 4-epimerase	COG:COG1082, COG:G, EC:5.1.3.-, GO:0005829, GO:0005975, GO:0016857, GO:0030145, GO:0042802, RefSeq:WP_001538709.1, SO:0001217, UniParc:UPI0002A2650F, UniRef:UniRef100_A0A377K7L5, UniRef:UniRef50_P76044, UniRef:UniRef90_P76044
contig_1	cds	70046	71101	+	LNNEOK_00335	ycjS	D-glucoside 3-dehydrogenase	COG:COG0673, COG:R, EC:1.1.1.-, GO:0000166, GO:0005975, GO:0016616, RefSeq:WP_001538710.1, SO:0001217, UniParc:UPI0002A30C3D, UniRef:UniRef100_A0A7B5G088, UniRef:UniRef50_P77503, UniRef:UniRef90_P77503
contig_1	cds	71098	73365	+	LNNEOK_00340	ycjT	kojibiose phosphorylase	BlastRules:WP_000198036, COG:COG1554, COG:G, EC:2.4.1.230, GO:0004553, GO:0005975, GO:0030246, GO:0033831, RefSeq:WP_001773900.1, SO:0001217, UniParc:UPI0002A3C5D7, UniRef:UniRef100_UPI0018F0FBA6, UniRef:UniRef50_P77154, UniRef:UniRef90_P77154
contig_1	cds	73362	74021	+	LNNEOK_00345	pgmB	beta-phosphoglucomutase	COG:COG0637, COG:G, EC:5.4.2.6, GO:0008801, GO:0046352, RefSeq:WP_000775772.1, SO:0001217, UniParc:UPI00000DEB43, UniRef:UniRef100_A0A2G9A6G1, UniRef:UniRef50_P77366, UniRef:UniRef90_A0A066R5B8
contig_1	cds	74035	75117	+	LNNEOK_00350	ycjV	Uncharacterized ABC transporter ATP-binding protein YcjV	COG:COG3839, COG:G, GO:0005524, GO:0008643, GO:0016887, GO:0043190, GO:0140359, RefSeq:WP_000057991.1, SO:0001217, UniParc:UPI0000E44F7F, UniRef:UniRef100_Q0TI47, UniRef:UniRef50_P77481, UniRef:UniRef90_P77481
contig_1	cds	75162	76067	+	LNNEOK_00355	ompG	monomeric porin OmpG	BlastRules:WP_000735257, GO:0006811, GO:0009279, GO:0015288, GO:0015478, GO:0015481, GO:0034219, GO:0046930, RefSeq:WP_001350256.1, SO:0001217, UniParc:UPI0001E18203, UniRef:UniRef100_A0A366YPG4, UniRef:UniRef50_P76045, UniRef:UniRef90_P76045
contig_1	cds	76118	77116	-	LNNEOK_00360	ycjW	Uncharacterized HTH-type transcriptional regulator YcjW	COG:COG1609, COG:K, GO:0000976, GO:0003700, GO:0006351, GO:0006355, GO:0006974, GO:0045892, RefSeq:WP_001538712.1, SO:0001217, UniParc:UPI0002A3740B, UniRef:UniRef100_A0A377K730, UniRef:UniRef50_P77615, UniRef:UniRef90_P77615
contig_1	cds	77273	78670	+	LNNEOK_00365	ycjX	Uncharacterized protein YcjX	COG:COG3106, COG:T, GO:0005524, RefSeq:WP_000825763.1, SO:0001217, UniParc:UPI000187BCAA, UniRef:UniRef100_B7URC9, UniRef:UniRef50_P76046, UniRef:UniRef90_P76046
contig_1	cds	78667	79728	+	LNNEOK_00370	ycjF	UPF0283 membrane protein YcjF	COG:COG3768, COG:S, GO:0005886, RefSeq:WP_000138728.1, SO:0001217, UniParc:UPI000013A6D7, UniRef:UniRef100_B7MLZ8, UniRef:UniRef50_Q8ZP64, UniRef:UniRef90_Q8X8K9
contig_1	cds	79876	81417	+	LNNEOK_00375	tyrR	transcriptional regulator TyrR	COG:COG3283, COG:KE, GO:0003677, GO:0005524, GO:0005737, GO:0006355, GO:0008134, GO:0016887, GO:0019439, RefSeq:WP_001296041.1, SO:0001217, UniParc:UPI00005EF5E3, UniRef:UniRef100_A0A061YB38, UniRef:UniRef50_P07604, UniRef:UniRef90_P07604
contig_1	cds	81461	81967	-	LNNEOK_00380	tpx	thiol peroxidase	COG:COG2077, COG:O, EC:1.11.1.-, EC:1.11.1.24, GO:0008379, GO:0016684, KEGG:K11065, RefSeq:WP_000084387.1, SO:0001217, UniParc:UPI00000480C8, UniRef:UniRef100_P0A864, UniRef:UniRef50_Q8ZE42, UniRef:UniRef90_P0A864
contig_1	cds	82086	83051	+	LNNEOK_00385	ycjG	L-Ala-D/L-Glu epimerase	COG:COG4948, COG:MR, EC:5.1.1.20, GO:0009063, GO:0009254, GO:0016855, GO:0046872, GO:0071555, GO:0103031, RefSeq:WP_001538714.1, SO:0001217, UniParc:UPI0002A44840, UniRef:UniRef100_A0A8B5HKB0, UniRef:UniRef50_P51981, UniRef:UniRef90_P51981
