protein_id	protein_name	count
LNNEOK_16240	Qat anti-phage system TatD family nuclease QatD	1
LNNEOK_16235	Qat anti-phage system QueC-like protein QatC	1
LNNEOK_16230	Phycobilisome protein	1
LNNEOK_16225	KAP NTPase domain-containing protein	1
LNNEOK_16220	Ribonucleases G and E	1
LNNEOK_16215	ImpA C-terminal domain-containing protein	1
LNNEOK_16210	Hemolysin activator protein	1
LNNEOK_16250	Adenylyl/Guanylyl and SMODS C-terminal sensor domain-containing protein	1
LNNEOK_15985	Aec76	1
LNNEOK_15980	Aec77	1
LNNEOK_15975	DUF4942 domain-containing protein	1
LNNEOK_15970	lysine decarboxylation/transport transcriptional activator CadC	1
LNNEOK_15965	cadaverine/lysine antiporter	1
LNNEOK_15960	lysine decarboxylase CadA	1
LNNEOK_15955	dipeptide/tripeptide permease DtpC	1
LNNEOK_15950	lysine--tRNA ligase	1
LNNEOK_16115	Maturase	1
LNNEOK_15940	type V toxin-antitoxin system endoribonuclease antitoxin GhoS	1
LNNEOK_15935	Uncharacterized protein YjdJ	1
LNNEOK_15930	Uncharacterized protein YjdI	1
LNNEOK_15925	Sensor histidine kinase DcuS	1
LNNEOK_15920	two-component system response regulator DcuR	1
LNNEOK_15915	anaerobic C4-dicarboxylate transporter DcuB	1
LNNEOK_15905	Inner membrane protein YjdF	1
LNNEOK_15900	alpha-galactosidase	1
LNNEOK_15945	type V toxin-antitoxin system toxin GhoT	1
LNNEOK_16110	hypothetical protein	1
LNNEOK_16105	Ligand-binding sensor domain	1
LNNEOK_16100	Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains	1
LNNEOK_16095	methionine adenosyltransferase	1
LNNEOK_16090	S-adenosylmethionine synthetase	1
LNNEOK_16085	AraC family transcriptional regulator	1
LNNEOK_16080	Transcriptional repressor	1
LNNEOK_16075	Cation/multidrug efflux pump protein	1
LNNEOK_15995	Phage-related protein	1
LNNEOK_16060	DNA-binding transcriptional regulator AlpA	1
LNNEOK_16055	Inovirus Gp2 family protein	1
LNNEOK_16050	Inovirus Gp2 family protein	1
LNNEOK_16045	hypothetical protein	1
LNNEOK_16040	G domain-containing protein	1
LNNEOK_16035	hypothetical protein	1
LNNEOK_16030	DNA-binding protein	1
LNNEOK_16025	META domain-containing protein	1
LNNEOK_16020	UPF0401 protein c5157	1
LNNEOK_16065	ABC transporter permease	1
LNNEOK_16600	isovaleryl-CoA dehydrogenase	1
LNNEOK_16595	Putative acid--amine ligase YjfC	1
LNNEOK_16590	Uncharacterized protein YjfM	1
LNNEOK_16585	UPF0719 inner membrane protein YjfL	1
LNNEOK_16580	Uncharacterized protein YjfK	1
LNNEOK_16575	Uncharacterized protein YjfJ	1
LNNEOK_16570	DUF2170 domain-containing protein	1
LNNEOK_16565	Altronate dehydratase	1
LNNEOK_16315	protein-disulfide reductase DsbD	1
LNNEOK_16555	Dihydrodipicolinate synthase	1
LNNEOK_16550	IclR-family transcriptional regulator	1
LNNEOK_16545	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	1
LNNEOK_16540	ribonuclease R	1
LNNEOK_16535	nitric oxide-sensing transcriptional repressor NsrR	1
LNNEOK_16530	adenylosuccinate synthase	1
LNNEOK_16525	Uncharacterized protein YjeT	1
LNNEOK_16520	protease modulator HflC	1
LNNEOK_16560	Sugar phosphate permease	1
LNNEOK_16690	IS200/IS605 family transposase	1
LNNEOK_16685	Uncharacterized protein YjfZ	1
LNNEOK_16680	50S ribosomal protein L9	1
LNNEOK_16675	30S ribosomal protein S18	1
LNNEOK_16670	primosomal replication protein N	1
LNNEOK_16665	30S ribosomal protein S6	1
LNNEOK_16660	Uncharacterized protein YjfY	1
LNNEOK_16655	L-ribulose-5-phosphate 4-epimerase UlaF	1
LNNEOK_16605	protease activator YjfN	1
LNNEOK_16645	3-keto-L-gulonate-6-phosphate decarboxylase UlaD	1
LNNEOK_16640	PTS ascorbate transporter subunit IIA	1
LNNEOK_16635	PTS ascorbate transporter subunit IIB	1
LNNEOK_16630	PTS ascorbate transporter subunit IIC	1
LNNEOK_16625	L-ascorbate 6-phosphate lactonase	1
LNNEOK_16620	HTH-type transcriptional regulator UlaR	1
LNNEOK_16615	esterase	1
LNNEOK_16610	biofilm peroxide resistance protein BsmA	1
LNNEOK_16650	L-ribulose-5-phosphate 3-epimerase UlaE	1
LNNEOK_16400	fumarate reductase subunit FrdD	1
LNNEOK_16395	cephalosporin-hydrolyzing class C beta-lactamase EC-5	1
LNNEOK_16390	lipocalin Blc	1
LNNEOK_16385	quaternary ammonium compound efflux SMR transporter SugE	1
LNNEOK_16380	lipoprotein toxin entericidin B	1
LNNEOK_16375	lipoprotein antitoxin entericidin A	1
LNNEOK_16370	Elongation factor P	1
LNNEOK_16365	EF-P beta-lysylation protein EpmB	1
LNNEOK_16515	FtsH protease activity modulator HflK	1
LNNEOK_16355	Uncharacterized protein YjeI	1
LNNEOK_16350	chaperonin GroEL	1
LNNEOK_16345	Co-chaperonin GroES	1
LNNEOK_16340	L-methionine/branched-chain amino acid transporter	1
LNNEOK_16335	UPF0716 protein FxsA	1
LNNEOK_16330	aspartate ammonia-lyase	1
LNNEOK_16325	anaerobic C4-dicarboxylate transporter DcuA	1
LNNEOK_16320	divalent cation tolerance protein CutA	1
LNNEOK_16360	Uncharacterized protein YjeJ	1
LNNEOK_16510	ribosome rescue GTPase HflX	1
LNNEOK_16505	RNA chaperone Hfq	1
LNNEOK_16500	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	1
LNNEOK_16495	DNA mismatch repair endonuclease MutL	1
LNNEOK_16490	N-acetylmuramoyl-L-alanine amidase AmiB	1
LNNEOK_16485	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	1
LNNEOK_16480	bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	1
LNNEOK_16475	tRNA epoxyqueuosine(34) reductase QueG	1
LNNEOK_16405	Fumarate reductase subunit C	1
LNNEOK_16450	oligoribonuclease	1
LNNEOK_16445	small ribosomal subunit biogenesis GTPase RsgA	1
LNNEOK_16440	archaetidylserine decarboxylase	1
LNNEOK_16435	miniconductance mechanosensitive channel MscM	1
LNNEOK_16430	DUF2645 domain-containing protein	1
LNNEOK_16425	glutamate/gamma-aminobutyrate family transporter YjeM	1
LNNEOK_16420	elongation factor P--(R)-beta-lysine ligase	1
LNNEOK_16415	fumarate reductase (quinol) flavoprotein subunit	1
LNNEOK_16410	fumarate reductase iron-sulfur protein	1
LNNEOK_16470	Uncharacterized protein YjeV	1
LNNEOK_18510	pyruvate dehydrogenase (acetyl-transferring), homodimeric type	1
LNNEOK_18500	pyruvate dehydrogenase complex transcriptional repressor PdhR	1
LNNEOK_18490	Bacteriocin immunity protein	1
LNNEOK_18480	Colicin	1
LNNEOK_18475	aromatic amino acid transporter AroP	1
LNNEOK_18470	beta-lactamase regulator AmpE	1
LNNEOK_18465	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	1
LNNEOK_18460	carboxylating nicotinate-nucleotide diphosphorylase	1
LNNEOK_17475	hypochlorite stress DNA-binding transcriptional regulator HypT	1
LNNEOK_18450	type II secretion system protein GspE	1
LNNEOK_18445	protein transport protein HofC	1
LNNEOK_18440	GMP reductase	1
LNNEOK_18435	Protein YacM	1
LNNEOK_18430	dephospho-CoA kinase	1
LNNEOK_18425	cell division protein ZapD	1
LNNEOK_18420	DNA gyrase inhibitor YacG	1
LNNEOK_18415	8-oxo-dGTP diphosphatase MutT	1
LNNEOK_18455	prepilin peptidase-dependent pilin	1
LNNEOK_18605	pantoate--beta-alanine ligase	1
LNNEOK_18600	Recombination-promoting nuclease RpnC	1
LNNEOK_18595	aspartate 1-decarboxylase	1
LNNEOK_18590	Uncharacterized protein YadE	1
LNNEOK_18585	Putative phosphotransferase enzyme IIA component YadI	1
LNNEOK_18580	Inner membrane transport permease YadH	1
LNNEOK_18575	Uncharacterized ABC transporter ATP-binding protein YadG	1
LNNEOK_18570	carbonate dehydratase	1
LNNEOK_18515	pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase	1
LNNEOK_18560	quinoprotein glucose dehydrogenase	1
LNNEOK_18555	multicopper oxidase CueO	1
LNNEOK_18550	YacC family pilotin-like protein	1
LNNEOK_18545	polyamine aminopropyltransferase	1
LNNEOK_18540	adenosylmethionine decarboxylase	1
LNNEOK_18535	protein YacL	1
LNNEOK_18530	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	1
LNNEOK_18525	DUF3300 domain-containing protein	1
LNNEOK_18520	dihydrolipoyl dehydrogenase	1
LNNEOK_18565	hypoxanthine phosphoribosyltransferase	1
LNNEOK_18300	acetolactate synthase small subunit	1
LNNEOK_18295	acetolactate synthase 3 large subunit	1
LNNEOK_18290	transcriptional regulator LeuO	1
LNNEOK_18285	leu operon leader peptide	1
LNNEOK_18280	2-isopropylmalate synthase	1
LNNEOK_18275	3-isopropylmalate dehydrogenase	1
LNNEOK_18270	3-isopropylmalate dehydratase large subunit	1
LNNEOK_18265	3-isopropylmalate dehydratase small subunit	1
LNNEOK_18405	preprotein translocase subunit SecA	1
LNNEOK_18250	DNA-binding transcriptional regulator SgrR	1
LNNEOK_18245	thiamine ABC transporter substrate binding subunit	1
LNNEOK_18240	thiamine/thiamine pyrophosphate ABC transporter permease ThiP	1
LNNEOK_18235	thiamine ABC transporter ATP-binding protein ThiQ	1
LNNEOK_18230	Inner membrane protein YabI	1
LNNEOK_18225	DUF943 domain-containing protein	1
LNNEOK_18220	Phage protein	1
LNNEOK_18215	arabinose operon transcriptional regulator AraC	1
LNNEOK_18260	Glucose uptake inhibitor SgrT	1
LNNEOK_18400	secA translation cis-regulator SecM	1
LNNEOK_18395	UDP-3-O-acyl-N-acetylglucosamine deacetylase	1
LNNEOK_18390	cell division protein FtsZ	1
LNNEOK_18380	cell division protein FtsA	1
LNNEOK_18375	cell division protein FtsQ	1
LNNEOK_18370	D-alanine--D-alanine ligase	1
LNNEOK_18365	UDP-N-acetylmuramate--L-alanine ligase	1
LNNEOK_18360	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	1
LNNEOK_18305	Putative fruR/shl operon leader peptide	1
LNNEOK_18350	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	1
LNNEOK_18345	phospho-N-acetylmuramoyl-pentapeptide-transferase	1
LNNEOK_18340	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	1
LNNEOK_18335	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	1
LNNEOK_18330	peptidoglycan glycosyltransferase FtsI	1
LNNEOK_18325	penicillin-binding protein PBP3 FtsI	1
LNNEOK_18320	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	1
LNNEOK_18315	division/cell wall cluster transcriptional repressor MraZ	1
LNNEOK_18310	catabolite repressor/activator	1
LNNEOK_18355	cell division protein FtsW	1
LNNEOK_18885	lysine decarboxylase LdcC	1
LNNEOK_18880	acetyl-CoA carboxylase carboxyl transferase subunit alpha	1
LNNEOK_18875	DNA polymerase III subunit alpha	1
LNNEOK_18870	ribonuclease HII	1
LNNEOK_18865	lipid-A-disaccharide synthase	1
LNNEOK_18860	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase	1
LNNEOK_18855	3-hydroxyacyl-ACP dehydratase FabZ	1
LNNEOK_18850	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	1
LNNEOK_18610	3-methyl-2-oxobutanoate hydroxymethyltransferase	1
LNNEOK_18840	outer membrane protein assembly factor BamA	1
LNNEOK_18835	sigma E protease regulator RseP	1
LNNEOK_18830	phosphatidate cytidylyltransferase	1
LNNEOK_18825	CDP-diglyceride synthase	1
LNNEOK_18820	(2E,6E)-farnesyl-diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase	1
LNNEOK_18815	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1
LNNEOK_18810	ribosome recycling factor	1
LNNEOK_18805	UMP kinase	1
LNNEOK_18845	molecular chaperone Skp	1
LNNEOK_19015	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG	1
LNNEOK_19010	endonuclease/exonuclease/phosphatase family protein	1
LNNEOK_19005	DNA-binding transcriptional regulator YafC	1
LNNEOK_19000	2,5-didehydrogluconate reductase DkgB	1
LNNEOK_18960	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	1
LNNEOK_18955	methionine ABC transporter ATP-binding protein MetN	1
LNNEOK_18950	D-methionine transport system permease protein MetI	1
LNNEOK_18945	methionine ABC transporter substrate-binding lipoprotein MetQ	1
LNNEOK_18890	VOC family protein	1
LNNEOK_18935	tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO	1
LNNEOK_18930	proline--tRNA ligase	1
LNNEOK_18925	YaeF family permuted papain-like enzyme	1
LNNEOK_18920	envelope stress response activation lipoprotein NlpE	1
LNNEOK_18915	alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB	1
LNNEOK_18910	Uncharacterized protein YaeQ	1
LNNEOK_18905	YaeP family protein	1
LNNEOK_18900	Rho-binding antiterminator	1
LNNEOK_18895	tRNA lysidine(34) synthetase TilS	1
LNNEOK_18940	Rcs stress response system protein RcsF	1
LNNEOK_18695	Fe3+-hydroxamate ABC transporter ATP-binding protein FhuC	1
LNNEOK_18690	ferrichrome porin FhuA	1
LNNEOK_18685	bifunctional glycosyl transferase/transpeptidase	1
LNNEOK_18680	ATP-dependent helicase HrpB	1
LNNEOK_18675	RNA 2',3'-cyclic phosphodiesterase	1
LNNEOK_18670	DNA/RNA nuclease SfsA	1
LNNEOK_18665	RNA polymerase-binding protein DksA	1
LNNEOK_18660	tRNA glutamyl-Q(34) synthetase GluQRS	1
LNNEOK_18800	elongation factor Tu	1
LNNEOK_18650	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	1
LNNEOK_18645	Fimbrial protein	1
LNNEOK_18640	fimbrial chaperone	1
LNNEOK_18635	outer membrane usher protein	1
LNNEOK_18630	Fimbrial protein	1
LNNEOK_18625	fimbrial-like protein YadL	1
LNNEOK_18620	fimbrial-like protein	1
LNNEOK_18615	fimbrial-like adhesin	1
LNNEOK_18655	polynucleotide adenylyltransferase PcnB	1
LNNEOK_18795	30S ribosomal protein S2	1
LNNEOK_18785	type I methionyl aminopeptidase	1
LNNEOK_18780	bifunctional uridylyltransferase/uridylyl-removing protein GlnD	1
LNNEOK_18775	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	1
LNNEOK_18770	phosphodiesterase YaeI	1
LNNEOK_18765	DUF3461 domain-containing protein	1
LNNEOK_18760	DNA-binding transcriptional regulator CdaR	1
LNNEOK_18755	serine endoprotease DegP	1
LNNEOK_18700	Fe(3+)-hydroxamate ABC transporter substrate-binding protein FhuD	1
LNNEOK_18745	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	1
LNNEOK_18740	vitamin B12 ABC transporter substrate-binding protein BtuF	1
LNNEOK_18735	UPF0126 inner membrane protein YadS	1
LNNEOK_18730	iron-sulfur cluster insertion protein ErpA	1
LNNEOK_18725	Protein YadW	1
LNNEOK_18720	H(+)/Cl(-) exchange transporter ClcA	1
LNNEOK_18715	Protein YadX	1
LNNEOK_18710	glutamate-1-semialdehyde 2,1-aminomutase	1
LNNEOK_18705	Fe(3+)-hydroxamate ABC transporter permease FhuB	1
LNNEOK_18750	dGTPase	1
LNNEOK_17705	DNA polymerase III subunit psi	1
LNNEOK_17700	16S rRNA (guanine(1207)-N(2))-methyltransferase RsmC	1
LNNEOK_17680	Uncharacterized protein YjjZ	1
LNNEOK_17675	siderophore-iron reductase FhuF	1
LNNEOK_17670	DNA-binding transcriptional activator BglJ	1
LNNEOK_17665	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	1
LNNEOK_17660	putative succinate transporter subunit YjjP	1
LNNEOK_17655	threonine/serine exporter	1
LNNEOK_18210	ribulokinase	1
LNNEOK_17645	DNA replication protein DnaC	1
LNNEOK_17640	Uncharacterized protein YjjA	1
